"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/about/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/about/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/plans/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/plans/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-visible/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-visible/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/blog/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/blog/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-mint-mobile/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-mint-mobile/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/blog/back-to-school-phone-plans-2026-student-deals-and-tips/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","Vouch Mobile","","200","OK","true","","","Root-Relative","//body/header/div/a","Header","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/blog/back-to-school-phone-plans-2026-student-deals-and-tips/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/blog/back-to-school-phone-plans-2026-student-deals-and-tips/","https://vouch-mobile-site-fz5pc.kinsta.page/","27934","","Home","200","OK","true","","","Root-Relative","//body/article/header/div/nav/a[1]","Navigation","HTML"
