"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/about/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/about/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/plans/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/plans/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","Browse FAQs","200","OK","true","","","Root-Relative","//body/section[3]/div/a","Content","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","FAQ","200","OK","true","","","Root-Relative","//body/header/div/nav/ul/li[4]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","34114","","Plans & Pricing 4","200","OK","true","","","Path-Relative","//body/section[@class='faq-main']/div/div/aside/nav/a[1]","Navigation","HTML"
