"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/about/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/plans/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/coverage/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouchmobile.com/help","2587","","Visit Help Center →","405","Not Allowed","true","","","Absolute","//body/section[@class='section-lg']/div/div/div[@class='contact-info-section']/div[@class='contact-method'][1]/a","Content","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/contact/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/faq/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/vouch-vs-visible/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/compare/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
"Hyperlink","https://vouch-mobile-site-fz5pc.kinsta.page/blog/","https://vouchmobile.com/help","2587","","Help Center","405","Not Allowed","true","","","Absolute","//body/footer/div[@class='container']/div[@class='footer-main']/nav/div[@class='footer-links'][2]/ul/li[3]/a","Navigation","HTML"
